time,playerPositionX,playerPositionZ,playerRotation,rewardAmount,painBodyPart,painBodySource
1.306046,0.2613915,12.64652,0.01295871,0,00,000
1.312012,0.2638197,12.73588,0.01256604,0,00,000
1.317856,0.2662416,12.82532,0.01256604,0,00,000
1.324371,0.2686053,12.91291,0.01256604,0,00,000
1.330078,0.2712339,13.01067,0.01256604,0,00,000
1.336319,0.2735288,13.09626,0.01256604,0,00,000
1.342072,0.2760274,13.18975,0.01256604,0,00,000
1.348114,0.2783249,13.27595,0.01256604,0,00,000
1.354263,0.2807344,13.3666,0.01256604,0,00,000
1.360626,0.2831786,13.4588,0.01256604,0,00,000
1.366684,0.2859443,13.56388,0.01256604,0,00,000
1.372375,0.2887698,13.67223,0.01217338,0,00,000
1.378693,0.2915879,13.78106,0.01217338,0,00,000
1.384689,0.2948988,13.91021,0.0117807,0,00,000
1.390717,0.2981988,14.03999,0.0117807,0,00,000
1.396866,0.3016488,14.17702,0.01138803,0,00,000
1.402756,0.3053046,14.32352,0.01138803,0,00,000
1.408951,0.30893,14.4699,0.01138803,0,00,000
1.415115,0.3128705,14.6301,0.01138803,0,00,000
1.420975,0.3168912,14.79501,0.01099536,0,00,000
1.42691,0.3208072,14.95684,0.01099536,0,00,000
1.433258,0.3248706,15.12591,0.01099536,0,00,000
1.439163,0.3293055,15.31167,0.01099536,0,00,000
1.445236,0.333519,15.48914,0.01099536,0,00,000
1.451157,0.3379268,15.67578,0.01099536,0,00,000
1.457184,0.3422997,15.8618,0.01099536,0,00,000
1.46347,0.3468219,16.05501,0.01099536,0,00,000
1.46936,0.3516138,16.2606,0.01099536,0,00,000
1.47554,0.3561767,16.45707,0.01099536,0,00,000
1.481491,0.3610265,16.66663,0.01099536,0,00,000
1.487503,0.365748,16.87127,0.01099536,0,00,000
1.4935,0.3705795,17.08129,0.01099536,0,00,000
1.499649,0.3754546,17.29377,0.01099536,0,00,000
1.505814,0.3805076,17.51456,0.01099536,0,00,000
1.51178,0.3856173,17.73837,0.01099536,0,00,000
1.517822,0.3906143,17.95771,0.01099536,0,00,000
1.524063,0.3957198,18.18227,0.01099536,0,00,000
1.529953,0.4010295,18.41627,0.01099536,0,00,000
1.53595,0.4060797,18.63921,0.01099536,0,00,000
1.542084,0.4112577,18.86817,0.01099536,0,00,000
1.548172,0.4165916,19.10439,0.01099536,0,00,000
1.554276,0.4219334,19.34131,0.01099536,0,00,000
1.56076,0.4273145,19.5803,0.01099536,0,00,000
1.56636,0.4330699,19.83627,0.01099536,0,00,000
1.57312,0.4380714,20.05895,0.01099536,0,00,000
1.578705,0.4440832,20.32925,0.009424642,0,00,000
1.585068,0.448992,20.55365,0.007461217,0,00,000
1.590988,0.4544483,20.81138,0.004712375,0,00,000
1.597107,0.459314,21.05245,0.001178101,0,00,000
1.603226,0.4640619,21.30274,-0.001178094,0,00,000
1.609192,0.46848,21.55413,-0.003534281,0,00,000
1.615341,0.4724341,21.80055,-0.00589045,0,00,000
1.621246,0.4760751,22.05578,-0.00863927,0,00,000
1.62709,0.479144,22.30136,-0.01021,0,00,000
1.633194,0.4817913,22.54558,-0.01021,0,00,000
1.639297,0.4841464,22.80149,-0.01021,0,00,000
1.645187,0.4861117,23.05808,-0.01021,0,00,000
1.651169,0.4876654,23.30667,-0.01021,0,00,000
1.657181,0.4889062,23.56023,-0.01021,0,00,000
1.663879,0.4898263,23.81546,-0.01021,0,00,000
1.669388,0.4904674,24.10077,-0.01021,0,00,000
1.675476,0.4907487,24.33588,-0.01021,0,00,000
1.681366,0.4907719,24.597,-0.01021,0,00,000
1.687469,0.4905381,24.84998,-0.01021,0,00,000
1.693436,0.4900343,25.11253,-0.01021,0,00,000
1.699539,0.4893033,25.36991,-0.01021,0,00,000
1.705551,0.4883171,25.63397,-0.01021,0,00,000
1.711685,0.4871261,25.89461,-0.01021,0,00,000
1.717728,0.4856963,26.16061,-0.01021,0,00,000
1.723785,0.4840884,26.423,-0.01021,0,00,000
1.729843,0.4822837,26.68671,-0.01021,0,00,000
1.735855,0.4802988,26.9506,-0.01021,0,00,000
1.742004,0.4781543,27.21337,-0.01021,0,00,000
1.74791,0.4757908,27.4825,-0.01021,0,00,000
1.753967,0.4733716,27.74133,-0.01021,0,00,000
1.760025,0.4707388,28.0073,-0.01021,0,00,000
1.766174,0.4679652,28.27346,-0.01021,0,00,000
1.772232,0.4650137,28.54363,-0.01021,0,00,000
1.778214,0.4619777,28.81008,-0.01021,0,00,000
1.784454,0.4588592,29.07356,-0.01021,0,00,000
1.790451,0.4554787,29.349,-0.01021,0,00,000
1.796417,0.452125,29.61367,-0.01021,0,00,000
1.802628,0.448687,29.87716,-0.01021,0,00,000
1.808792,0.4450034,30.15164,-0.01021,0,00,000
1.814575,0.4412487,30.4243,-0.01021,0,00,000
1.820633,0.4376386,30.68063,-0.01021,0,00,000
1.82666,0.4337712,30.94929,-0.01021,0,00,000
1.832748,0.4298423,31.21674,-0.01021,0,00,000
1.83905,0.4257933,31.48715,-0.01021,0,00,000
1.844864,0.4215231,31.76714,-0.01021,0,00,000
1.850983,0.4175196,32.02551,-0.01021,0,00,000
1.856964,0.413235,32.29774,-0.01021,0,00,000
1.863022,0.4089819,32.56413,-0.01021,0,00,000
1.869446,0.4046192,32.8337,-0.01021,0,00,000
1.875336,0.3999219,33.12005,-0.01021,0,00,000
1.881226,0.3955676,33.38244,-0.01021,0,00,000
1.887299,0.3911561,33.64539,-0.01021,0,00,000
1.893265,0.3865628,33.91628,-0.01021,0,00,000
1.899643,0.3820066,34.18237,-0.01021,0,00,000
1.905411,0.3770803,34.46725,-0.01021,0,00,000
1.911728,0.3725896,34.72478,-0.01021,0,00,000
1.917679,0.3676613,35.00689,-0.009031954,0,00,000
1.923645,0.3630317,35.27318,-0.007853899,0,00,000
1.929932,0.3584695,35.53972,-0.00589045,0,00,000
1.936172,0.3537751,35.82104,-0.004319674,0,00,000
1.941833,0.3492756,36.10007,-0.002748888,0,00,000
1.948166,0.3453426,36.35324,-0.001570793,0,00,000
1.954041,0.3411616,36.63683,2.305515E-09,0,00,000
1.960236,0.3375103,36.89953,0.001570798,0,00,000
1.966156,0.3339439,37.17695,0.003534287,0,00,000
1.972229,0.3308354,37.44217,0.005497762,0,00,000
1.978241,0.3279869,37.71455,0.007068527,0,00,000
1.984238,0.3255426,37.98371,0.009031959,0,00,000
1.991394,0.3235038,38.2525,0.01099536,0,00,000
1.996384,0.3216866,38.57365,0.01295871,0,00,000
2.002396,0.3207328,38.79705,0.01452936,0,00,000
2.008545,0.320056,39.06692,0.01609997,0,00,000
2.014496,0.3198902,39.34277,0.01806318,0,00,000
2.02121,0.3202483,39.60984,0.02002632,0,00,000
2.026825,0.3213554,39.9108,0.02238198,0,00,000
2.032669,0.322785,40.16287,0.02395236,0,00,000
2.039383,0.3248427,40.42539,0.02591524,0,00,000
2.044937,0.3280103,40.72691,0.02866311,0,00,000
2.050934,0.3311967,40.97587,0.03101826,0,00,000
2.057419,0.3353473,41.24486,0.0337657,0,00,000
2.063126,0.3407142,41.53609,0.0365129,0,00,000
2.069061,0.3461401,41.79189,0.03965221,0,00,000
2.075302,0.3526095,42.05835,0.04279114,0,00,000
2.081207,0.3603511,42.33822,0.04592963,0,00,000
2.087296,0.3685676,42.60325,0.04906768,0,00,000
2.093307,0.3780139,42.87662,0.05181308,0,00,000
2.099335,0.3882805,43.14599,0.05416596,0,00,000
2.106201,0.3995788,43.41663,0.05651854,0,00,000
2.111435,0.4137279,43.72461,0.05887081,0,00,000
2.117508,0.4252381,43.95922,0.06004682,0,00,000
2.123581,0.4395691,44.23142,0.06122275,0,00,000
2.129623,0.4548673,44.50391,0.06200666,0,00,000
2.135727,0.4709823,44.77448,0.06318244,0,00,000
2.141663,0.4881999,45.0481,0.06396626,0,00,000
